Category,System Model,System Mfg,Part Mfg,Part Number
CT SCANNER,BRILLIANCE-BIG-BORE,PHILIPS,PHILIPS,453567098181
MRI SCANNER,VANTAGE-XGV,TOSHIBACANON,TOSHIBACANON,pm42-01903-1
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,327099021701
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213256262
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ka10277701
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ct-ws-17vc-bl
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ka10251704
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ct-wg-8a-
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ka10253704
CT SCANNER,ECLOS-16,HITACHI,HITACHI,ct-wg-8a-
CT SCANNER,BRILLIANCE-16,PHILIPS,PHILIPS,459800079641
MRI SCANNER,SIGNA-EXCITE-HDE-HDXT-15T,GE,GE,5879212-2
CT SCANNER,AQUILION-PRIME,TOSHIBACANON,TOSHIBACANON,px79-10973
MRI SCANNER,MAGNETOM-SYMPHONY-15T,SIEMENS,SIEMENS,10928288
CT SCANNER,LIGHTSPEED-QXI-4,GE,GE,46-296633g1
BONE DENSITOMETER,LUNAR-IDXA,GE,GE,ecm40us05
BONE DENSITOMETER,LUNAR-IDXA,GE,GE,10004991
BONE DENSITOMETER,HORIZON-WI,HOLOGIC,HOLOGIC,asy-07557
PORTABLE X-RAY,AMX-4,GE,GE,5350020
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,452230023417
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,452230023412
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800006481
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,452216327843
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,937500344006
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,451217800876
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,451220400524
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,937500228256
RAD ROOM,DIGITAL-DIAGNOST,PHILIPS,PHILIPS,989001088682
MAMMO UNIT,SENOGRAPHE-ESSENTIAL-SENOCLAIRE-3D,GE,GE,2101204-2
RAD ROOM,OPTIMUS-C-65,PHILIPS,PHILIPS,452216703607
MRI SCANNER,INTERA-ACHIEVA-15T,PHILIPS,PHILIPS,459800962423
CATH ANGIO LAB,ARTIS-PHENO,SIEMENS,SIEMENS,11328001
CT SCANNER,BRIVO-CT325,GE,GE,5318130-3
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,inr-571-018
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,inr-571-016b
CT SCANNER,BRIVO-CT325,GE,GE,5325799-3
CT SCANNER,BRIVO-CT325,GE,GE,2171573-2
CT SCANNER,BRIVO-CT325,GE,GE,5325157
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459801632881
CATH ANGIO LAB,ARTIS-ZEE,SIEMENS,SIEMENS,11334272
MRI SCANNER,MEGNETOM-VERIO,SIEMENS,SIEMENS,10678331
CATH ANGIO LAB,DISCOVERY-IGS-730,GE,GE,5419071
RAD FLUORO ROOM,AXIOM-SIRESKOP-SD,SIEMENS,SIEMENS,50183037
CATH ANGIO LAB,ALLURA-XPER-FD20-ALLURA-FD20-CLARITY,PHILIPS,PHILIPS,451220400528
C ARM,OEC-9600,GE,GE,00-876641-01
RAD FLUORO ROOM,DUODIAGNOST,PHILIPS,PHILIPS,4522-090-07881
CATH ANGIO LAB,INNOVA-IGS-530,GE,GE,5496367-2
CT SCANNER,MX16,PHILIPS,PHILIPS,459800927391
RAD FLUORO ROOM,PRECISION-500D,GE,GE,2399944
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px71-07030-4q
PORTABLE X-RAY,MOBILEDIAGNOST-WDR,PHILIPS,PHILIPS,300008205082
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,615915001901
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,459800972281
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,989600200544
