Category,System Model,System Mfg,Part Mfg,Comments,Part Number,Part/Item Name,Condition,Listing Type,Request Type,Price,D2D Price,VTS Friend Price,Currency,Quantity,Buy Now Activate?,Buy Now Shipping,Ships Within (days),Make an Offer?,Auto-Accept Offers above,Auto-Reject Offers below,Weight,"Weight Units (1 = 'Lbs', 2= 'Kg')",Height,Width,Depth,Sale %,Bulk Shipping Eligible,Available as Parts?,In Stock,Item ID,Item ID Type (SKU/EAC/JAN/MPN/MMN),Your Item ID,Your Item ID 2,Alt. Address,Youtube URL,Video URL,Listing ID (Leave Blank to Add),Delete,Auto-Renew,Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Image 21,Image 22,Image 23,Image 24,Image 25
X-Ray Tube,AQUILION ONE,CANON,CANON,"Almost new MCS-7288ACXB-750F/2A X-Ray Tube manufactured in May 2025. Latest tube count is 165,589 scan seconds.",CXB-750F/2A,MCS-7288,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,5540353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,SIEMENS,SIEMENS,,2840556,1805345,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,880373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Camera,,AGFA,AGFA,,JDS UNIPHASE 1145AP-3340 LASER,KEYPAD 8377/380,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1523500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,TOSHIBA,TOSHIBA,,2178169 SINOVISION,BSX73-0828,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,943390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,Aquilion 16,TOSHIBA,TOSHIBA,Aquilion 16 Cosole cabinet CKCN-011A.,CKCN-011A,Console,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1569438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,GE,GE,,46-321057 P1   WITH BRUSH,46-321057 P1   WITH BRUSH,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1525453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,PICKER,PICKER,,"PX77-57200, OR YWA2147*B  GNS  PX77-57200, OR YWA2147*B  GNS","PX77-57200, OR YWA2147*B  GNS  PX77-57200, OR YWA2147*B  GNS",,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1532328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,TOSHIBA,TOSHIBA,,YWS347*C (PX77-23561)  YWS347*C (PX77-23561),YWS347*C (PX77-23561)  YWS347*C (PX77-23561),,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1533021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,SIEMENS ANGIO,SIEMENS ANGIO,,"9138629G069E, D51  9138629G069E, D51","9138629G069E, D51  9138629G069E, D51",,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1534003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,FD20,PHILIPS,PHILIPS,motor 452212916931 452210487991,452212916931,MOTOR,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,3508657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
