Category,System Model,System Mfg,Part Mfg,Comments,Part Number,Part/Item Name,Condition,Listing Type,Request Type,Price,Quantity,Listing ID (Leave Blank to Add)
"MRI","MRI","","GE","5178781 PAC ASSY. PROFILE HD","5178781","5178781 PAC ASSY. PROFILE HD","used","For Sale","","","1",
"PET/CT","PET/CT","","SIEMENS","HIGH RESOLUTION GANTRY CONTROLLER 3100156 1010062A. BIOGRAPH","3100156 1010062A","HIGH RESOLUTION GANTRY CONTROLLER 3100156 1010062A. BIOGRAPH","used","For Sale","","","1",
"CT","CT","","SIEMENS","green printed circuit board assembly with Round Robin Arbitration and part number S/N 00011949HCM and ASSY -01 visible.. SIEMENS","00011949HCM","green printed circuit board assembly with Round Robin Arbitration and part number S/N 00011949HCM and ASSY -01 visible.. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","3791428 D91. SIEMENS","3791428","3791428 D91. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","TOSHIBA","705-001779 CENTRECOM FD708XL PORT. INFX-8000C/DFP-8000A","705-001779","705-001779 CENTRECOM FD708XL PORT. INFX-8000C/DFP-8000A","used","For Sale","","","1",
"MRI","MRI","","GE","Silicon Graphics Octane2 workstation manufactured by Silicon Graphics for GE Medical Systems, model number CMNB015ANG400, and includes a GE medical systems tag number D0B7KC.. GE","CMNB015ANG400","Silicon Graphics Octane2 workstation manufactured by Silicon Graphics for GE Medical Systems, model number CMNB015ANG400, and includes a GE medical systems tag number D0B7KC.. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","45221670016 45221670016. PHILIPS","45221670016","45221670016 45221670016. PHILIPS","used","For Sale","","","1",
"CT","CT","","PHILIPS","3DBP Power PCB 453567038731 rev A. BRILLIANCE CONSOLES","3DBP 453567038731 rev A","3DBP Power PCB 453567038731 rev A. BRILLIANCE CONSOLES","used","For Sale","","","1",
"Unclear","Unclear","","","power supply module with serial number C371GM02020AJH, featuring a transformer and connector pins, likely from a medical device.","C371GM02020AJH","power supply module with serial number C371GM02020AJH, featuring a transformer and connector pins, likely from a medical device.","used","For Sale","","","1",
"MRI","MRI","","HITACHI","MREL SW CZ21JL-A. HITACHI","CZ21JL-A","MREL SW CZ21JL-A. HITACHI","used","For Sale","","","1",
"CATH","CATH","","GE","GE Advantage Workstation, Model number 5183547-32.. GE","5183547-32","GE Advantage Workstation, Model number 5183547-32.. GE","used","For Sale","","","1",
"CT","CT","","GE","000406K 0004 POWER BRUSH. GE","000406K 0004 ","000406K 0004 POWER BRUSH. GE","used","For Sale","","","1",
"PET/CT","PET/CT","",""," medical equipment circuit board with multiple integrated circuits, including a MAXIM MAX233ACWP, PN5252AD, and parts labeled 4522 127 0214890.","452212702148"," medical equipment circuit board with multiple integrated circuits, including a MAXIM MAX233ACWP, PN5252AD, and parts labeled 4522 127 0214890.","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","PLEXTOR PX-760A RW CD DRIVE. ARTIS FA","PX-760A","PLEXTOR PX-760A RW CD DRIVE. ARTIS FA","used","For Sale","","","1",
"MRI","MRI","","PHILIPS","PHILIPS MRI CDAS MNS RX Splitter board with the part number 4535 671 31493 and RP B117458-7.. ACHIEVA 3T","4535 671 31493  RP B117458-7.","PHILIPS MRI CDAS MNS RX Splitter board with the part number 4535 671 31493 and RP B117458-7.. ACHIEVA 3T","used","For Sale","","","1",
"CT","CT","","TOSHIBA ","0750073 275 VAC TEAL SUPPRESSION MUDULE TYPE 32. Toshiba PDU","0750073 275","0750073 275 VAC TEAL SUPPRESSION MUDULE TYPE 32. Toshiba PDU","used","For Sale","","","1",
"MAMMO","MAMMO","","GE","2199347-7 IDC. 2000D","2199347-7","2199347-7 IDC. 2000D","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","452210748104 LB6. PHILIP H5000","452210748104","452210748104 LB6. PHILIP H5000","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","KODAK","KTC-SA104-PK SB1. KODAK","KTC-SA104-PK","KTC-SA104-PK SB1. KODAK","used","For Sale","","","1",
"MRI","MRI","","HITACHI","62HM-FZ2 MRI POWER AMPLIFIER. HITACHI","62HM-FZ2","62HM-FZ2 MRI POWER AMPLIFIER. HITACHI","used","For Sale","","","1",
"PET/CT","PET/CT","","GE","54804.PET-661. DLS4","54804","54804.PET-661. DLS4","used","For Sale","","","1",
"CT","CT","","GE","This is an industrial controller board, possibly for a drive or servo system, labeled 1336-L7E 5VDC ONLY (WITH ENCODER) and part number 191213 REV 01 and 164989 rev 13. Rockwell Automation/Allen-Bradley (A-B)","1336-L7E  191213 REV 01   164989  ","This is an industrial controller board, possibly for a drive or servo system, labeled 1336-L7E 5VDC ONLY (WITH ENCODER) and part number 191213 REV 01 and 164989 rev 13. Rockwell Automation/Allen-Bradley (A-B)","used","For Sale","","","1",
"WORKSTATION","WORKSTATION","","DELL","DELL Printed Circuit Board, likely for a medical imaging computer, with part numbers CN-0HF692-13740-96B-00AG-A00 and P/N 112791-11LF.. DELL","CN-0HF692-13740-96B-00AG-A00  P/N 112791-11LF.","DELL Printed Circuit Board, likely for a medical imaging computer, with part numbers CN-0HF692-13740-96B-00AG-A00 and P/N 112791-11LF.. DELL","used","For Sale","","","1",
"PET/CT","PET/CT","","GE","HIGHLANDER CEM board with part number GEC ND3604782 and PWA 5127006 REV D, possibly used in medical imaging equipment.. GE","ND3604782  5127006 ","HIGHLANDER CEM board with part number GEC ND3604782 and PWA 5127006 REV D, possibly used in medical imaging equipment.. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS ","45221081576 VISUB. PHILIPS VISUB","45221081576","45221081576 VISUB. PHILIPS VISUB","used","For Sale","","","1",
"CATH","CATH","","GE ","TOPSEARCH PCB, likely part of a medical device, with part number TS-M-8V01C 94V-0 and FRU 5134585 007 and SN 001651-2406.. GE INNOVA","TS-M-8V01C 94V-0 5134585 007","TOPSEARCH PCB, likely part of a medical device, with part number TS-M-8V01C 94V-0 and FRU 5134585 007 and SN 001651-2406.. GE INNOVA","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","451210805305 451210805423. PHILIP H5000","451210805305","451210805305 451210805423. PHILIP H5000","used","For Sale","","","1",
"CATH","CATH","","GE","46-232508G1. GE","46-232508G1","46-232508G1. GE","used","For Sale","","","1",
"CT","CT","","SIEMENS","SHV 404770-001 450014-001 LOGICAL CONTROL INTERFACE. SIEMENS","404770-001 450014-001","SHV 404770-001 450014-001 LOGICAL CONTROL INTERFACE. SIEMENS","used","For Sale","","","1",
"CT","CT","","SIEMENS","FRIZLEN GXADU 320x80-25, 450W resistor with part number 39587, possibly used in medical equipment.. SIEMENS Flash"," 320x80-25, 450W","FRIZLEN GXADU 320x80-25, 450W resistor with part number 39587, possibly used in medical equipment.. SIEMENS Flash","used","For Sale","","","1",
"CT","CT","","","PC board with artwork number 4535 670 10311 REV C, assembly number 4535 670 10281 REV, and serial number I10285617.","453567010311","PC board with artwork number 4535 670 10311 REV C, assembly number 4535 670 10281 REV, and serial number I10285617.","used","For Sale","","","1",
"NUCLEAR","NUCLEAR","","GE","medical equipment part with part number SWL780A-FFF and serial number 100810 0978, originating from China.. BLACK BOX","SWL780A-FFF","medical equipment part with part number SWL780A-FFF and serial number 100810 0978, originating from China.. BLACK BOX","used","For Sale","","","1",
"C-ARM","C-ARM","","GE","00-878410-01 REV A. OEC","00-878410-01","00-878410-01 REV A. OEC","used","For Sale","","","1",
"CT","CT","","SIEMENS","XFMRS XFSUN6-COMBO1-23 -01REV53. SUN","XFSUN6-COMBO1-23 -01REV53","XFMRS XFSUN6-COMBO1-23 -01REV53. SUN","used","For Sale","","","1",
"CATH","CATH","","GE","COSEL PS P30E-12. GE"," P30E-13","COSEL PS P30E-12. GE","used","For Sale","","","1",
"CATH","CATH","","","""10145089 MEGALIX Cat Plus 125/40/90-125 GW","","""10145089 MEGALIX Cat Plus 125/40/90-125 GW","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","452212701486 SPC2. PHILIPS","452212701486","452212701486 SPC2. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","GE","CT Gantry Interco PCB board with connectors, part number 5166538-2-3 and with DATA 1-28576A and DATA 2 - 28577A on the chassis.. ABEL","5166538-2-3 1-28576A   2 - 28577A","CT Gantry Interco PCB board with connectors, part number 5166538-2-3 and with DATA 1-28576A and DATA 2 - 28577A on the chassis.. ABEL","used","For Sale","","","1",
"CT","CT","","GE","2342726-2 HENGSTLER ASSY 0565873. GE","2342726-2","2342726-2 HENGSTLER ASSY 0565873. GE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","ST31230N SEAGATE. SIEMENS","ST31230N","ST31230N SEAGATE. SIEMENS","used","For Sale","","","1",
"MRI","MRI","","GE","2393906 HFA MODULE W. 2396050 REV-07 CTRL BD. GE","2393906  2396050 REV-07","2393906 HFA MODULE W. 2396050 REV-07 CTRL BD. GE","used","For Sale","","","1",
"MRI","MRI","","SIEMENS","SIEMENS medical equipment part, possibly related to MRI, featuring multiple connectors and with visible part numbers 07711323 and 03815359.. SIEMENS"," 07711323  03815359.","SIEMENS medical equipment part, possibly related to MRI, featuring multiple connectors and with visible part numbers 07711323 and 03815359.. SIEMENS","used","For Sale","","","1",
"INJECTOR","INJECTOR","","MEDRAD","MEDRAD Spectris battery, with part number 92901-T-108 Rev. G 1 of 2.. MEDRAD"," 92901-T-108 Rev. G 1 of 2.","MEDRAD Spectris battery, with part number 92901-T-108 Rev. G 1 of 2.. MEDRAD","used","For Sale","","","1",
"C-ARM","C-ARM","","PHILIPS ","PB11 SPROC 452212702591. PULSERA","PB11 SPROC 452212702592","PB11 SPROC 452212702591. PULSERA","used","For Sale","","","1",
"CT","CT","","TOSHIBA","PX77-68803 XT. TOSHIBA","PX77-68803","PX77-68803 XT. TOSHIBA","used","For Sale","","","1",
"CATH","CATH","","TOSHIBA","This medical equipment part has various video output connectors such as DVI, VGA, SVHS, FBAS, and RS232, and includes part number 6GF6221-2CC14 and serial number HXX2001871.. TOSHIBA"," 6GF6221-2CC15","This medical equipment part has various video output connectors such as DVI, VGA, SVHS, FBAS, and RS232, and includes part number 6GF6221-2CC14 and serial number HXX2001871.. TOSHIBA","used","For Sale","","","1",
"CT","CT","","GE","5401237-ENG 5368687 GOC6 SCM(Global Scan Control) keyboard. CT","5401237-ENG 5368688","5401237-ENG 5368687 GOC6 SCM(Global Scan Control) keyboard. CT","used","For Sale","","","1",
"CATH","CATH","","GE","2260555-2 UP CONV. GE","2260555-3","2260555-2 UP CONV. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","452210820337 DFFD. PHILIPS","452210820338 DFFD","452210820337 DFFD. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS",". SIEMENS","",". SIEMENS","used","For Sale","","","1",
"CT","CT","","SIEMENS","1623375 D311. EMOTION 6","1623376 D311","1623375 D311. EMOTION 6","used","For Sale","","","1",
"CT","CT","","SHIMADZU",". SHIMADZU 6809","",". SHIMADZU 6809","used","For Sale","","","1",
"CT","CT","","GE","2161306 HV TANK FAST(-). LS4","2161307 HV TANK FAST(-)","2161306 HV TANK FAST(-). LS4","used","For Sale","","","1",
"CT","CT","","GE","PACIFIC SCIENTIFIC SERVO DRIVE model PC832-111-N-4122-11, with a customer part number of 2342729-3.. GE","2342729-3","PACIFIC SCIENTIFIC SERVO DRIVE model PC832-111-N-4122-11, with a customer part number of 2342729-3.. GE","used","For Sale","","","1",
"CT","CT","","PHILIPS","SE7501WV2 INTEL SERVER BOARD. BR CONSOLE","SE7501WV3","SE7501WV2 INTEL SERVER BOARD. BR CONSOLE","used","For Sale","","","1",
"PET/CT","PET/CT","","SIEMENS","7568301 ACS COMPUTER. 5300082-00 DTx PN 90082.. SIEMENS BIO","7568302  5300082-00 DTx PN 90082.","7568301 ACS COMPUTER. 5300082-00 DTx PN 90082.. SIEMENS BIO","used","For Sale","","","1",
"TUBE","TUBE","","SIEMENS","Optitop 150/40/80HC-100  3345209 2005. SIEMENS","3345209","Optitop 150/40/80HC-100  3345209 2005. SIEMENS","used","For Sale","","","1",
"MRI","MRI","","GE","2366218 2366219 UTN SUPPRESSOR. GE","2366219 2366219","2366218 2366219 UTN SUPPRESSOR. GE","used","For Sale","","","1",
"CATH","CATH","","GE","2173597-A. GE","2173597-A","2173597-A. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","medical equipment circuit board with part number JS090600819 and connector FCI 8609.. PHILIPS","JS090600819  FCI 8609.","medical equipment circuit board with part number JS090600819 and connector FCI 8609.. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","451210774902. PHILIP H5000","451210774902","451210774902. PHILIP H5000","used","For Sale","","","1",
"CT","CT","","SIEMENS","C1.4.B0 H08BR 3089828 LUST CDA32-00 . EMOTION 6","C1.4.B0 H08BR 3089829","C1.4.B0 H08BR 3089828 LUST CDA32-00 . EMOTION 6","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","console intercom board with part numbers 2204382, 2145691, and ACT-0408 8542-169.. SIEMENS","2204382, 2145691,   ACT-0408 8542-169.","console intercom board with part numbers 2204382, 2145691, and ACT-0408 8542-169.. SIEMENS","used","For Sale","","","1",
"MRI","MRI","","SIEMENS","MR-198-05 ISOLATION BARRIER. SIEMENS","MR-198-06","MR-198-05 ISOLATION BARRIER. SIEMENS","used","For Sale","","","1",
"MRI","MRI","","SIEMENS","2364590 2364591 REV B. SIEMENS","2364591 2364591 REV B","2364590 2364591 REV B. SIEMENS","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","AGFA","NANOTEC MOTOR 4T4018M2200-A1 F8.5145.4524.0. AGFA","4T4018M2200-A1 F8.5145.4524.1","NANOTEC MOTOR 4T4018M2200-A1 F8.5145.4524.0. AGFA","used","For Sale","","","1",
"CT","CT","","TOSHIBA","SANYO DENKI servo amplifier, model PY2A030A4, with serial number 0109130586 E.. SANYO DENKI","PY2A030A5","SANYO DENKI servo amplifier, model PY2A030A4, with serial number 0109130586 E.. SANYO DENKI","used","For Sale","","","1",
"CATH","CATH","","PHILIPS ","45221082230 VISUB. PHILIPS VISUB","45221082230","45221082230 VISUB. PHILIPS VISUB","used","For Sale","","","1",
"CT","CT","","PHILIPS","453567416361 HDD FRO CIRS 3U. BR40","453567416361","453567416361 HDD FRO CIRS 3U. BR40","used","For Sale","","","1",
"CT","CT","","TOSHIBA","SPELLMAN 406163-001 INVERTER CHASSIS ASSY PX71-07481. AQ 32","406163-001  PX71-07482","SPELLMAN 406163-001 INVERTER CHASSIS ASSY PX71-07481. AQ 32","used","For Sale","","","1",
"CT","CT","","TOSHIBA","This is a circuit board with connectors, relays, and a fuse, bearing part number PX74-10097 and YWA3987*A.. TOSHIBA","PX74-10097","This is a circuit board with connectors, relays, and a fuse, bearing part number PX74-10097 and YWA3987*A.. TOSHIBA","used","For Sale","","","1",
"CT","CT","",""," COPAL JC40S 5kΩ ±0.1% potentiometer with part number 9BH109, likely used in various medical equipment.","9BH109"," COPAL JC40S 5kΩ ±0.1% potentiometer with part number 9BH109, likely used in various medical equipment.","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","GOSSEN PS S63S5BU12 3173911. SIEMENS"," S63S5BU12 3173912","GOSSEN PS S63S5BU12 3173911. SIEMENS","used","For Sale","","","1",
"PET/CT","PET/CT","","SIEMENS","Phantom UPM power supply unit, part number 1SU52011, manufactured after August 13, 2005.. Phantom","1SU52011, manufactured after August 13, 2005.","Phantom UPM power supply unit, part number 1SU52011, manufactured after August 13, 2005.. Phantom","used","For Sale","","","1",
"MAMMO","MAMMO","","GE","2000D COLLIMATOR. GE","2000D COLLIMATOR","2000D COLLIMATOR. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","Philips medical display part, model number MLCD18-AB, 991932051581 containing lamps in display that contain mercury.. PHILIPS","MLCD18-AB, 991932051582","Philips medical display part, model number MLCD18-AB, 991932051581 containing lamps in display that contain mercury.. PHILIPS","used","For Sale","","","1",
"CT","CT","","GE","Clearly Superior Technologies trackball, Model PCTPS23B-D, likely used with a medical imaging workstation.. Clearly Superior Technologies"," PCTPS23B-D","Clearly Superior Technologies trackball, Model PCTPS23B-D, likely used with a medical imaging workstation.. Clearly Superior Technologies","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","4677134 MML200. SIEMENS","4677135 MML200","4677134 MML200. SIEMENS","used","For Sale","","","1",
